,Book,Author,Genres,Num_Ratings,description
2046,"reaper man (discworld, #11; death, #2)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Death']","96,245","Terry Pratchett ['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Death']"
997,lullaby,Chuck Palahniuk,"['Fiction', 'Horror', 'Contemporary', 'Fantasy', 'Novels', 'Thriller', 'American']","96,188","Chuck Palahniuk ['Fiction', 'Horror', 'Contemporary', 'Fantasy', 'Novels', 'Thriller', 'American']"
1692,the little book of hygge: the danish way to live well,Meik Wiking,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Philosophy', 'Personal Development', 'Denmark']","96,184","Meik Wiking ['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Philosophy', 'Personal Development', 'Denmark']"
5240,"cold days (the dresden files, #14)",Jim Butcher,"['Fantasy', 'Urban Fantasy', 'Fiction', 'Mystery', 'Paranormal', 'Magic', 'Audiobook']","96,166","Jim Butcher ['Fantasy', 'Urban Fantasy', 'Fiction', 'Mystery', 'Paranormal', 'Magic', 'Audiobook']"
7184,leonardo da vinci,Walter Isaacson,"['Biography', 'Nonfiction', 'History', 'Art', 'Science', 'Biography Memoir', 'Audiobook']","96,082","Walter Isaacson ['Biography', 'Nonfiction', 'History', 'Art', 'Science', 'Biography Memoir', 'Audiobook']"
2014,"into the wild (warriors, #1)",Erin Hunter,"['Fantasy', 'Fiction', 'Animals', 'Middle Grade', 'Young Adult', 'Childrens', 'Adventure']","96,069","Erin Hunter ['Fantasy', 'Fiction', 'Animals', 'Middle Grade', 'Young Adult', 'Childrens', 'Adventure']"
372,native son,Richard Wright,"['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Race', 'Literature', 'Novels']","96,052","Richard Wright ['Fiction', 'Classics', 'Historical Fiction', 'African American', 'Race', 'Literature', 'Novels']"
5685,90 minutes in heaven: a true story of death and life,Don Piper,"['Christian', 'Nonfiction', 'Religion', 'Spirituality', 'Biography', 'Memoir', 'Inspirational']","96,051","Don Piper ['Christian', 'Nonfiction', 'Religion', 'Spirituality', 'Biography', 'Memoir', 'Inspirational']"
1580,liar's poker (norton paperback),Michael   Lewis,"['Nonfiction', 'Business', 'Finance', 'Economics', 'History', 'Biography', 'Memoir']","96,041","Michael   Lewis ['Nonfiction', 'Business', 'Finance', 'Economics', 'History', 'Biography', 'Memoir']"
2259,the war of art: winning the inner creative battle,Steven Pressfield,"['Nonfiction', 'Writing', 'Self Help', 'Art', 'Business', 'Personal Development', 'Psychology']","96,023","Steven Pressfield ['Nonfiction', 'Writing', 'Self Help', 'Art', 'Business', 'Personal Development', 'Psychology']"
2116,trafficked to hell: a trafficked daughter's plight. a mother's fight to find her.,R.J. Flo,"['Gender', 'Feminism', 'Gender Studies', 'Nonfiction']",96,"R.J. Flo ['Gender', 'Feminism', 'Gender Studies', 'Nonfiction']"
9187,domingo's angel,Jenny Twist,"['Romance', 'Historical']",96,"Jenny Twist ['Romance', 'Historical']"
6828,sunan abu dawud,أبو داود السجستاني,"['Religion', 'Islam']",96,"أبو داود السجستاني ['Religion', 'Islam']"
5894,loving ordinary life: the self-help book for people who are tired of self-help books,Anastasia Petrenko,"['Self Help', 'Nonfiction']",96,"Anastasia Petrenko ['Self Help', 'Nonfiction']"
9971,sex and the origins of death,William R. Clark,"['Science', 'Nonfiction', 'Biology', 'Death', 'Evolution']",96,"William R. Clark ['Science', 'Nonfiction', 'Biology', 'Death', 'Evolution']"
9652,"tall, dark streak of lightning (dark lightning trilogy, #1)",J.M.  Richards,"['Superheroes', 'Romance', 'Science Fiction', 'Adventure', 'Young Adult']",96,"J.M.  Richards ['Superheroes', 'Romance', 'Science Fiction', 'Adventure', 'Young Adult']"
7146,"diplomats & admirals: from failed negotiations and tragic misjudgments to powerful leaders and heroic deeds, the untold story of the pacific war from pearl harbor to midway",Dale A. Jenkins,"['History', 'War', 'World War II', 'Nonfiction']",958,"Dale A. Jenkins ['History', 'War', 'World War II', 'Nonfiction']"
69,tuesdays with morrie,Mitch Albom,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Inspirational', 'Philosophy', 'Self Help']","954,913","Mitch Albom ['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Inspirational', 'Philosophy', 'Self Help']"
6291,the mystery of marriage: meditations on the miracle,Mike Mason,"['Marriage', 'Nonfiction', 'Christian', 'Christianity', 'Theology', 'Christian Living', 'Relationships']",954,"Mike Mason ['Marriage', 'Nonfiction', 'Christian', 'Christianity', 'Theology', 'Christian Living', 'Relationships']"
